INFO 2025-04-15 23:40:32,944 autoreload 21000 10304 Watching for file changes with StatReloader
INFO 2025-04-15 23:43:22,560 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:22,566 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:22,567 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:22,572 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:22,578 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:22,578 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:22,582 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:22,587 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:22,589 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:22,593 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:22,597 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:22,597 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:22,605 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:22,609 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:22,610 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:22,615 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:22,617 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:22,622 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:22,626 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
INFO 2025-04-15 23:43:23,159 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:23,163 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
